SaleID,ProductID,Quantity,UnitPrice,TotalPrice
41906,7297,1,224.38,224.38
48599,18025,2,22600.83,45201.66
14629,9145,1,47077.6,47077.6
44349,48541,5,979.04,4895.2
5698,38699,4,46659.25,186637
2083,1953,1,1622.79,1622.79
14329,15248,5,143.24,716.2
39454,1740,5,17146.1,85730.5
13032,46926,5,42711.7,213558.5
27494,14447,4,20916.07,83664.28
38619,18232,1,14176.64,14176.64
49730,10464,4,2147.39,8589.56
22299,18211,2,21627.22,43254.44
14111,22060,1,28004.65,28004.65
6079,24899,1,1693.07,1693.07
23527,22542,5,5342.39,26711.95
17336,2848,4,6496.72,25986.88
35143,8181,4,31919.26,127677.04
5165,36179,3,2296.9,6890.7
41199,40536,3,6010.41,18031.23
37838,12602,1,433.54,433.54
3004,43337,2,243.85,487.7
18966,5230,2,20289.35,40578.7
6620,24912,3,2767.1,8301.3
29715,41661,3,1345.81,4037.43
10660,24261,3,95.42,286.26
13731,43921,3,1763.65,5290.95
45995,44797,1,423.8,423.8
39921,41614,2,1715.8,3431.6
35006,47785,2,49859.36,99718.72
10709,30295,4,1731.85,6927.4
17692,41944,5,93.04,465.2
14393,44867,3,4831.45,14494.35
3666,15011,1,1094.14,1094.14
20674,26291,3,2451.16,7353.48
4338,13827,5,170.17,850.85
47050,20623,2,740.98,1481.96
42955,32718,4,4142.98,16571.92
42130,30072,2,18917.83,37835.66
17360,9151,2,2017.92,4035.84
48824,36790,5,21393.56,106967.8
17220,48957,5,475.8,2379
28078,38243,4,42844.07,171376.28
23724,14374,2,183.67,367.34
33393,32344,1,82.62,82.62
49531,3088,1,890.07,890.07
10017,41121,2,11351.91,22703.82
44597,27667,5,11379.09,56895.45
4164,25217,4,16741.59,66966.36
39053,30675,5,24000.51,120002.55
16477,36257,1,1352.05,1352.05
44584,47234,1,6114.1,6114.1
44677,35191,3,12322.3,36966.9
42007,22294,1,18724.02,18724.02
19235,28493,2,3869.06,7738.12
29736,213,3,9006.49,27019.47
32807,49936,2,642.95,1285.9
33272,6974,3,162.86,488.58
41875,33271,5,44734.46,223672.3
13036,10017,3,1344.64,4033.92
49972,10588,5,7385.62,36928.1
34758,38,5,1509.93,7549.65
21244,32022,1,16855.15,16855.15
7332,23789,3,1065.36,3196.08
15693,3797,2,1892.61,3785.22
37183,5162,1,32471.87,32471.87
47967,31850,1,20536.9,20536.9
49847,34912,2,29021.12,58042.24
8415,43238,4,17584.74,70338.96
36032,10822,3,13129.95,39389.85
34582,39754,4,19987.32,79949.28
13881,35344,2,192.03,384.06
46724,20429,4,1863.55,7454.2
44020,42591,3,258.01,774.03
28712,33920,4,18001.1,72004.4
7931,16247,2,42670.88,85341.76
4197,22157,1,4650.01,4650.01
38556,36302,2,4795.69,9591.38
